id,numero,rep,nom_voie,code_postal,nom_commune
40002_0005_00440,440,,Chemin d'Andriou,40330,Amou
40002_0036_00116,116,,Chemin des Chênes Verts,40330,Amou
40002_0088_00236_b,236,b,Avenue du Pont Neuf,40330,Amou
40002_0028_00188,188,,Avenue de la Gare,40330,Amou
40002_0029_00245,245,,Route de Bonnegarde,40330,Amou
40002_0068_00443,443,,Chemin de Marlat,40330,Amou
40002_0105_00019,19,,Chemin de Cabe,40330,Amou
40002_0044_00846,846,,Chemin de Gaye,40330,Amou
40002_0054_00635,635,,Avenue des Pyrénées,40330,Amou
40002_0034_00675,675,,Chemin de Carrière,40330,Amou
40002_0137_00062_a,62,a,Impasse des Muriers,40330,Amou
40002_0042_00612,612,,Chemin de Gastoun,40330,Amou
40002_0011_00071,71,,Chemin de Baratnaou,40330,Amou
40002_0054_00713,713,,Avenue des Pyrénées,40330,Amou
40002_0080_01509,1509,,Chemin de Pebarthe,40330,Amou
40002_0060_00006,6,,Place Saint-pierre,40330,Amou
40002_0042_00344,344,,Chemin de Gastoun,40330,Amou
40002_0065_00009,9,,Impasse des Lilas,40330,Amou
40002_0066_00781,781,,Chemin de Lot,40330,Amou
40002_0045_00079_a,79,a,Rue du Mirailh,40330,Amou
40002_0111_00163_b,163,b,Allée des Capucines,40330,Amou
40002_0061_00087,87,,Rue Saint- Pierre,40330,Amou
40002_0046_00192,192,,Rue Moncade,40330,Amou
